author_id,conversation_id,created_at,id,in_reply_to_user_id,like_count,quote_count,reply_count,retweet_count,text
1453549115170766853,1554611786858594305,2022-08-02T23:35:07.000Z,1554611786858594305,,0,0,0,42,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
2524242329,1554552516725145609,2022-08-02T19:39:36.000Z,1554552516725145609,,0,0,0,51,"RT @VictorFla_: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QUE…"
1402431524574830600,1554624797656682498,2022-08-03T00:26:49.000Z,1554624797656682498,,0,0,0,0,Vamos Meeeeeeeengoooooooooo. Pra cima deles. #flamengomalvadao @Flamengo
1260254433021177856,1552775216337674240,2022-07-28T21:57:15.000Z,1552775216337674240,,0,0,0,41,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
3890762062,1554794298725605376,2022-08-03T11:40:22.000Z,1554794298725605376,,1,0,0,0,"No Itaquerão Gavião, Virou #Galinha ( #Flamengo #flamengomalvadao #mengao /@Flamengo @ubzoficial @Arrascaeta_14 @evertonri @DavidLuiz_4 https://t.co/r7tFChe8hl"
1481121069717196802,1554570190444167168,2022-08-02T20:49:50.000Z,1554570190444167168,,0,0,0,42,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
1511906053503524870,1554617400674467840,2022-08-02T23:57:26.000Z,1554617400674467840,,0,0,0,42,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
873691334611275777,1553530256363069459,2022-07-30T23:57:30.000Z,1553530256363069459,,0,0,0,35,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
1540849609676832768,1554545011571687425,2022-08-02T19:09:47.000Z,1554545011571687425,,0,0,0,42,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
724780198479183872,1554312888667570176,2022-08-02T03:47:25.000Z,1554312888667570176,,0,0,0,37,"RT @naza_master: ⚫FLAMENGUISTA SEGUE FLAMENGUISTA🔴

⚫RT ESSE TWEET🔴
⚫SIGA QUEM DER FAV🔴
⚫SIGA QUEM DER RT🔴
⚫SIGA QUEM TE SEGUIR🔴
⚫️ SIGA QU…"
